tree_id,xmin,ymin,xmax,ymax,label,score,geometry,crown_width_px,crown_height_px,crown_area_px
Tree_1,3538.5586,2667.8113,3976.258,3049.013,Tree,0.4161612,"POLYGON ((3976.258056640625 2667.811279296875, 3976.258056640625 3049.012939453125, 3538.55859375 3049.012939453125, 3538.55859375 2667.811279296875, 3976.258056640625 2667.811279296875))",437.69946,381.20166,166851.77
Tree_2,1667.3983,1470.5659,1932.0078,1730.1505,Tree,0.19296128,"POLYGON ((1932.0078125 1470.56591796875, 1932.0078125 1730.1505126953125, 1667.3983154296875 1730.1505126953125, 1667.3983154296875 1470.56591796875, 1932.0078125 1470.56591796875))",264.6095,259.5846,68688.55
Tree_3,1935.2545,1638.7844,2394.3005,2112.7332,Tree,0.16061492,"POLYGON ((2394.300537109375 1638.784423828125, 2394.300537109375 2112.733154296875, 1935.2545166015625 2112.733154296875, 1935.2545166015625 1638.784423828125, 2394.300537109375 1638.784423828125))",459.04602,473.94873,217564.28
Tree_4,2078.6682,800.7054,2439.9377,1167.2734,Tree,0.14113246,"POLYGON ((2439.937744140625 800.7053833007812, 2439.937744140625 1167.2734375, 2078.668212890625 1167.2734375, 2078.668212890625 800.7053833007812, 2439.937744140625 800.7053833007812))",361.26953,366.56805,132429.88
Tree_5,0.0,709.4808,315.47433,1357.8403,Tree,0.1171127,"POLYGON ((315.4743347167969 709.4807739257812, 315.4743347167969 1357.84033203125, 0 1357.84033203125, 0 709.4807739257812, 315.4743347167969 709.4807739257812))",315.47433,648.35956,204540.8
Tree_6,440.7763,0.0,1051.4858,259.5626,Tree,0.11484171,"POLYGON ((1051.48583984375 0, 1051.48583984375 259.5625915527344, 440.77630615234375 259.5625915527344, 440.77630615234375 0, 1051.48583984375 0))",610.70953,259.5626,158517.34
Tree_7,985.12885,1366.7996,1232.399,1603.1373,Tree,0.10861939,"POLYGON ((1232.3990478515625 1366.799560546875, 1232.3990478515625 1603.1373291015625, 985.1288452148438 1603.1373291015625, 985.1288452148438 1366.799560546875, 1232.3990478515625 1366.799560546875))",247.2702,236.33777,58439.29
Tree_8,2456.0537,2009.9711,2766.6926,2275.8306,Tree,0.105674185,"POLYGON ((2766.692626953125 2009.9710693359375, 2766.692626953125 2275.83056640625, 2456.0537109375 2275.83056640625, 2456.0537109375 2009.9710693359375, 2766.692626953125 2009.9710693359375))",310.63892,265.8595,82586.305
