tree_id,bbox_x,bbox_y,bbox_w,bbox_h,area_px,max_height_m,mean_height_m,center_x_px,center_y_px
DINOV3_0154,489,2447,163,91,8160,inf,inf,570,2492
DINOV3_0155,1321,2471,43,15,384,inf,inf,1342,2478
DINOV3_0156,205,2479,231,103,6064,inf,inf,320,2530
DINOV3_0157,1490,2527,179,71,5120,inf,inf,1579,2562
DINOV3_0158,3477,2561,28,29,560,1.52,1.21,3491,2575
DINOV3_0159,269,2563,15,7,112,inf,inf,276,2566
DINOV3_0160,2489,2572,21,16,302,2.08,1.48,2499,2580
DINOV3_0161,2731,2599,279,471,60464,inf,inf,2870,2834
DINOV3_0162,1686,2603,699,467,57552,inf,inf,2035,2836
DINOV3_0163,1325,2615,31,27,576,inf,inf,1340,2628
DINOV3_0164,1830,2643,19,11,112,inf,inf,1839,2648
DINOV3_0165,1850,2655,35,19,272,inf,inf,1867,2664
DINOV3_0166,1754,2683,23,11,208,inf,inf,1765,2688
DINOV3_0167,801,2687,151,63,5920,inf,inf,876,2718
DINOV3_0168,1073,2699,243,119,10896,inf,inf,1194,2758
DINOV3_0169,2718,2703,11,39,352,inf,inf,2723,2722
DINOV3_0170,409,2731,315,63,8192,inf,inf,566,2762
DINOV3_0171,3539,2743,555,327,56640,inf,inf,3816,2906
DINOV3_0172,2606,2755,43,19,544,inf,inf,2627,2764
DINOV3_0173,1345,2763,19,19,256,inf,inf,1354,2772
DINOV3_0174,1366,2767,131,143,9440,inf,inf,1431,2838
DINOV3_0175,2610,2775,119,191,11584,inf,inf,2669,2870
DINOV3_0176,3543,2787,131,131,8672,inf,inf,3608,2852
DINOV3_0177,81,2791,295,155,15040,inf,inf,228,2868
DINOV3_0178,1,2795,7,59,272,inf,inf,4,2824
DINOV3_0179,1345,2795,19,15,192,inf,inf,1354,2802
DINOV3_0180,3679,2807,23,31,560,inf,inf,3690,2822
DINOV3_0181,1337,2839,27,79,1440,inf,inf,1350,2878
DINOV3_0182,1510,2859,415,211,26752,inf,inf,1717,2964
DINOV3_0183,325,2863,27,11,192,inf,inf,338,2868
DINOV3_0184,837,2871,151,199,10800,inf,inf,912,2970
DINOV3_0185,872,2908,55,68,2495,7.0,3.17,899,2942
DINOV3_0186,1,2911,199,159,11520,inf,inf,100,2990
DINOV3_0187,421,2939,355,131,14608,inf,inf,598,3004
DINOV3_0188,3019,2939,27,23,368,inf,inf,3032,2950
DINOV3_0189,3231,3007,255,63,5136,inf,inf,3358,3038
DINOV3_0190,1237,3027,75,43,1344,inf,inf,1274,3048
DINOV3_0191,1386,3059,95,11,560,inf,inf,1433,3064
DINOV3_0192,2038,3063,55,7,304,inf,inf,2065,3066
